Title,Count
Dahua-based SSJG-HDS2108,24
EFM Networks ipTIME G104 1,24
Gaspot,24
HBase,24
JAMES smtpd,24
LBP211/212,24
MS-SQL Server 2012 SP1,24
Netscape Enterprise httpd,24
SAMSUNG X4220RX,24
Samsung Smart TV UN48H5800 UN48H5800,24
Samsung Smart TV UN55H6500,24
Samsung Smart TV UN55J6200 UN55J6200,24
Synology DS218+ 6.2-25556,24
WatchGuard Technologies Inc.,24
Canon NB-EC3 FTP Print Server,23
"Casa Systems, Inc.",23
Conan Exiles,23
Dahua DH-NVR4104,23
Dahua-based DH-XVR5104HS-4KL-I3,23
EFM Networks ipTIME N704A 1,23
M203x Series,23
MS-SQL Server 2005 SP1,23
MS-SQL Server 2017 CU23,23
Mongrel httpd,23
Pulse Secure Network Connect 8.0,23
QNAP HS-210 HS-210,23
QNAP TS-231+,23
QNAP TS-269 Pro TS-269 Pro,23
Samsung Smart TV UN55H6800,23
tnftpd,23
ASUS Wireless Router RT-AC68A,22
DASAN Networks H150N EV-2009-02-06,22
Dahua DH-HCVR4108HS-S2,22
Dahua DH-NVR4416-16P-4KS2,22
Dahua DS-5104HS-4KD,22
Dahua IPC-HFW1230S,22
Epson printer httpd,22
M262x 282x Series,22
MS-SQL Server 2016 SP3,22
Mumble Server,22
Raritan KVM,22
SAMSUNG X4255LX,22
Samsung Electronics Samsung K4350 Series 1.0,22
Samsung Smart TV UN40H5800 UN40H5800,22
Samsung Smart TV UN50J5500 UN50J5500,22
Samsung Smart TV UN50J5800 UN50J5800,22
Samsung Smart TV UN55HU9000,22
Squid ftp proxy,22
ActiveMQ OpenWire Transport,21
"Apple Computer, Inc.",21
Axler router 10000NPLUS,21
Barracuda Networks Spam Firewall smtpd,21
Dahua-based KPR-5M08HS-X,21
Google httpd,21
HP-UX daytime,21
Juniper Network Connect 7.1.0 (Pulse Secure),21
MDaemon smtpd,21
MS-SQL Server 2019 GDR1,21
QNAP TS-251 TS-251,21
QNAP TS-251+,21
QNAP TS-259 Pro+ TS-259 Pro+,21
Remedy AR System Server,21
Samsung SCX-8123 8128 Series,21
Samsung Smart TV UN55JS9000,21
Samsung Smart TV UN60JS6900,21
Dahua DHI-NVR4216-16P-4KS2/L,20
Dahua-based KISXVR5104HS-X,20
EFM Networks ipTIME A104NS 1,20
HP OfficeJet Pro 8730,20
MS-SQL Server 2008 SP3,20
QNAP TS-231P,20
Realtek Semiconductor Corp. RTL8xxx EV-2010-09-20,20
Samsung Smart TV UN55JU7500 UN55JU7500,20
Samsung Smart TV UN65JU6000 UN65JU6000,20
TmaxSoft WebtoB httpd,20
iR C3125,20
AJA Video Systems HELO 0x10597500,19
ASP5K^^^^^,19
Cisco router daytime,19
Cisco/3com IPSSHd,19
Dahua DH-XVR4116HS-X,19
Dahua-based SDR-1004,19
EFM Networks ipTIME G504 1,19
EFM Networks ipTIME N6004 1,19
HP Color LaserJet M553,19
Internet Communications Engine,19
MS .NET Remoting services,19
Philips Hue Bridge v1 (BSB001),19
QNAP TS-453D,19
Samsung Smart TV UN48H6400,19
ASUS Wireless Router RT-AX89X,18
D-Link DCS-930LB1 webcam http interface,18
Dahua DH-XVR5216AN-I3,18
Dahua IP4M-1051,18
Dahua-based KVR-D400I,18
Dovecot Pigeonhole sieve,18
"EZ-NET Ubiquitous Co., Ltd. NEXT-1105NF 0416",18
HP LaserJet MFP M130fn,18
HP PageWide Pro 452dw Printer,18
Honeywell HEN04103,18
IPPDS,18
PATECH Router P104S,18
QNAP TS-210,18
QNAP TS-453A TS-453A,18
QNAP TS-563,18
Samsung Electronics Samsung X7600 Series 1.0,18
Samsung Smart TV UN48J6300 UN48J6300,18
Samsung Smart TV UN55JS6900 UN55JS6900,18
"Symbol Technologies, Inc.",18
Synology DS718+ 6.2-25556,18
Couchbase Server,17
Dahua DHI-HCVR5104H-S3,17
Dahua DHI-NVR5432-4KS2,17
Dahua-based KPR-5M04HS-I3,17
Dahua-based KVR-5M04HS-X1,17
"HFR,Inc",17
M263x_M284x Series,17
OpenEthereum,17
Pulse Secure Network Connect 8.2,17
QNAP TS-220,17
QNAP TS-469L TS-469L,17
QNAP TVS-682 TVS-682,17
SAMSUNG X4225RX,17
SCX-3400 Series,17
Salesforce,17
Samsung Smart TV UN48H6350,17
Samsung Smart TV UN55JU6400 UN55JU6400,17
Samsung Smart TV UN65HU7200 UN65HU7200,17
Tridium Niagara httpd,17
Varnish HTTP Cache,17
ASUS Wireless Router RT-AC67P,16
Adaptec/IBM ServeRAID Management http config,16
CCProxy http proxy,16
Canon printer smtp server,16
Counter-Strike,16
Dahua NVR4X-4KS2,16
Dahua-based DHI-NVR4216-16P-4KS2/L,16
Dahua-based KISXVR5104HS-I3,16
"Genuine 2.1M Camera (1080p HD, TI365) 2.7.7a",16
MS-SQL Server 2012 SP2+,16
Mono-HTTPAPI,16
Panasonic 3MP webcam http config,16
