Title,Count
ALT-N SecurityGateway smtpd,12
Buffalo WSR-5400AX6 5400,12
Communigate Pro SMTP,12
Dahua IPN-4208P8-HH-4T,12
Eudora EIMS X smtpd,12
MS-SQL Server 2005 RTM,12
MS-SQL Server 2012 SP3+,12
MS-SQL Server 2017 CU24,12
MS-SQL Server 2017 CU25,12
Microsoft Exchange 2010 smtpd,12
Network Flight Recorder BackOfficer Friendly telnet honeypot,12
Panasonic WV-S3130 webcam http config,12
Panasonic WV-SFN130 webcam http config,12
Panasonic WV-SPW311AL webcam http config,12
QNAP TS-219P+ TS-219P+,12
QNAP TS-231P2 TS-231P2,12
QNAP TS-419P II,12
Signify Philips hue bridge 2015 BSB002,12
Sony BRAVIA KJ-43W870C,12
Sony BRAVIA KJ-43X8000G,12
Sony BRAVIA KJ-55X8500C,12
Sony BRAVIA KJ-55X9300D,12
Swann DVR8-2600 security camera system httpd,12
Varnish HTTP Cache,12
Webwasher CSM Suite smtpd,12
libwww-perl-daemon httpd,12
2Wire HomePortal touer http config,11
Advanced Message Queue Protocol,11
Dahua DH-SD22204TN-GN,11
Dahua DH-XVR5104C-X1,11
Dahua DHI-NVR5416-16P-4KS2E,11
Dovecot Pigeonhole sieve,11
GlobalScape CuteFTP sshd,11
"I-O DATA DEVICE, INC. Broadband Router",11
LANCOM Server,11
Linux UPnP IGD Project RT2880 IGD Version 1.00 RT2880 C,11
MS-SQL Server 2008 R2 RTM+,11
MS-SQL Server 2017 CU22+,11
MS-SQL Server 2019 CU14,11
NTMail smtpd,11
Panasonic DG-SP304 webcam http config,11
Panasonic Network Camera BL-C111,11
Panasonic VL-CD265 webcam http config,11
Panasonic WV-SFN310A webcam http config,11
QNAP TS-230,11
QNAP TS-231P3 TS-231P3,11
QNAP TS-251A,11
QNAP TS-253Be,11
QNAP TS-431P2 TS-431P2,11
QNAP TS-459 Pro+,11
Ricoh maintenance telnetd,11
Rockwell Automation/Allen-Bradley,11
Sony BRAVIA KJ-65X8500D,11
Sony BRAVIA TV,11
besu,11
cPanel httpd,11
lpd,11
Blue Server,10
Dahua DH-NVR2108HS-HDS3,10
Google Gmail imapd,10
Indy,10
Juniper Network Connect 6.5.0 (Pulse Secure),10
MS-SQL Server 2016 SP1CU8,10
MS-SQL Server 2019 CU4,10
Mocana embedded SSH,10
NQ 6.2,10
Panasonic DG-SF334 webcam http config,10
Panasonic Network Camera BB-HCM511,10
Panasonic WV-S2110 webcam http config,10
PasteWSGIServer,10
QNAP NAS-673,10
QNAP TS-119P+ TS-119P+,10
QNAP TS-121,10
QNAP TS-128 TS-128,10
QNAP TS-131P,10
QNAP TS-212,10
QNAP TS-431X2,10
QNAP TS-451+,10
QNAP TS-453A,10
QNAP TS-459 Pro II TS-459 Pro II,10
QNAP TS-469-G,10
QNAP TS-653A,10
QNAP VS-6120Pro+,10
Symantec firewall http proxy,10
Titan ftpd,10
ALAXALA Networks Corporation,9
ASUS Wireless Router RT-N66U,9
ASUSTeK Computer Inc. Wi-Fi Protected Setup Router RT-AX92U,9
Conpot,9
Cyrus imapd,9
Dahua DH-XVR7216A-4KL-X,9
Dahua DHI-NVR5216-16P-I,9
Dahua IPN-4204P4-HH-2T,9
Dahua IPN-5216P16-HH-4T,9
Dell PowerConnect 6248 switch telnetd,9
Intel NetportExpress print server ftpd,9
Killing Floor 2,9
MS-SQL Server 2000 SP3a,9
Panasonic DG-SW395 webcam http config,9
QNAP TS-110 TS-110,9
QNAP TS-128A TS-128A,9
QNAP TS-131K,9
QNAP TS-228A TS-228A,9
QNAP TS-253D,9
QNAP TS-420,9
